Name,Address,Suburb,Postcode,State,Business Category,LGA,Region
Academy Of Hurdling Incorporating Sprints,318 Pascoe Vale Road,Essendon,3040,VIC,Athletics Club,Moonee Valley (C),North and West Metropolitan Region
Athletics Essendon,Moonee Valley Athletic Track,Moonee Ponds,3039,VIC,Athletics Club,Moonee Valley (C),North and West Metropolitan Region
Athletics Nunawading,,Nunawading,3131,VIC,Athletics Club,Whitehorse (C),Eastern Metropolitan Region
Athletics Waverley,Central Reserve,Glen Waverley,3150,VIC,Athletics Club,Monash (C),Eastern Metropolitan Region
Ballarat Harriers,31 Young Street (Overlooking Llanberris Reserve) ,Bakery Hill,3354,VIC,Athletics Club,Ballarat (C),Grampians Region
Bendigo YMCA Harriers,,Bendigo,3552,VIC,Athletics Club,Greater Bendigo (C); Greater Bendigo (C),Loddon-Mallee Region; Loddon-Mallee Region
Bill Sewart Athletics Track,PO Box 76,Forest Hill,3131,VIC,Athletics Club,Whitehorse,Eastern Metro
Box Hill Athletic Club,Hagenauers Reserve,Box Hill North,3129,VIC,Athletics Club,"Whitehorse , Boroondara",Eastern Metro
Brunswick Athletic Club Inc,342 Albion Street,Brunswick,3056,VIC,Athletics Club,Moreland,North and West Metropolitan Region
Casey Cardinia Athletics,Various training venues,,,,Athletics Club,City of Casey,Southern Metro
Coburg Harriers Club Inc,Outlook Drive,Coburg,3058,VIC,Athletics Club,Moreland (C),North and West Metropolitan Region
Collingwood Harriers,,Balwyn North,3104,VIC,Athletics Club,Boroondara (C),Eastern Metropolitan Region
Corio Athletic Club,,Corio,3214,VIC,Athletics Club,Greater Geelong (C),Barwon South Western Region
Deakin Athletic Club,,Geelong,3220,VIC,Athletics Club,Greater Geelong (C),Barwon South Western Region
Diamond Valley Athletic Club,Willinda Park,Greensborough,3088,VIC,Athletics Club,Nillumbik (S); Banyule (C),North and West Metropolitan Region
Doncaster Athletic Club,"Rieschiecks Reserve, George Street",Doncaster,3108,VIC,Athletics Club,Manningham,Eastern Metro
Eaglehawk YMCA Athletic Club,,Eaglehawk,3556,VIC,Athletics Club,Greater Bendigo (C),Loddon-Mallee Region
Eureka Athletic Club,,Buninyong,3357,VIC,Athletics Club,Ballarat (C),Grampians Region
Frankston Athletics Club,"Ballam Park, Benanee Dve",Frankston,3199,VIC,Athletics Club,Frankston (C),Southern Metropolitan Region
Geelong Walkers Club,Goldsworthy Reserve,Corio,3214,VIC,Athletics Club,Greater Geelong (C),Barwon South Western Region
Gippsland Athletics Club,Joe Carmody Athletics Track,Newborough,3825,VIC,Athletics Club,Latrobe (C); Baw Baw (S),Gippsland Region
Glenhuntly Athletic Club Inc,Duncan MacKinnon Reserve,Murrumbeena,3163,VIC,Athletics Club,Glen Eira,Southern Metro
Haileybury Athletic Club,Ross Reserve,Springvale,3171,VIC,Athletics Club,Greater Dandenong (C),Southern Metropolitan Region
Ivanhoe Harriers Athletic Club Inc.,"Willinda Park, Beatrix St",Greensborough,3095,VIC,Athletics Club,Nillumbik,North and West Metropolitan Region
Keilor St. Bernard's Athletic Club,45a Glass Street,Essendon,3040,VIC,Athletics Club,Moonee Valley (C),North and West Metropolitan Region
Knox Athletics Club,Knox Athletics Track,Knoxfield,3180,VIC,Athletics Club,"Yarra Ranges , Knox",Eastern Metro
Knox Road Runners Inc,Community Youth Centre,Bayswater,3153,VIC,Athletics Club,Maroondah (C); Knox (C),Eastern Metropolitan Region
Knox Sherbrooke Womens Athletic Club,32 Bunnett Road,Knoxfield,3180,VIC,Athletics Club,Knox,Eastern Metro
Maccabi Athletic Club,Duncan MacKinnon Athletic Grounds,Murrumbeena,3163,VIC,Athletics Club,Glen Eira (C),Southern Metropolitan Region
Malvern Harriers Athletic Club,Kooyong Park,Malvern,3144,VIC,Athletics Club,Stonnington (C),Southern Metropolitan Region
Melbourne Track Club,"Level 2, 70 Jolimont Street",Jolimont,3002,VIC,Athletics Club,Melbourne,North and West Metropolitan Region
Mentone Athletic Club,Dolarmore Oval,Mentone,3194,VIC,Athletics Club,Kingston (C); Bayside (C),Southern Metropolitan Region
Moonee Ponds Athletic Track,Corio Street,Moonee Ponds,3039,VIC,Athletics Club,Moonee Valley,North and West Metropolitan Region
Mornington Peninsula Athletics Club,Ballam Park,Frankston,3199,VIC,Athletics Club,Frankston (C),Southern Metropolitan Region
South Barwon Athletics Club,PO Box 716 ,Belmont,3216,VIC,Athletics Club,Greater Geelong,Barwon S/W
South Coast Athletics,,Leongatha,3953,VIC,Athletics Club,South Gippsland (S),Gippsland Region
South Coast Athletics,Bilson Street Primary School,Wonthaggi,3995,VIC,Athletics Club,Bass Coast (S),Gippsland Region
South Melbourne Athletic Club,,South Melbourne,,Vic,Athletics Club,Port Phillip (C); Melbourne (C); Melbourne (C),Southern Metropolitan Region; North and West Metropolitan Region; North and West Metropolitan Region
Special Olympics Barwon Region,PO Box 1387,Geelong,3220,VIC,"Athletics Club,Basketball Club,Disability,Gymnastics,Tennis club,Tenpin Bowling",Greater Geelong (C),Barwon South Western Region
Special Olympics Melbourne Southern Region,101 Embankment Grove,Chelsea,3196,VIC,"Athletics Club,Basketball Club,Disability,Softball Club",Kingston (C),Southern Metropolitan Region
Special Olympics Ovens & Murray Region,1 Muntz Street,Wangaratta,3677,VIC,"Athletics Club,Basketball Club,Disability,Softball Club,Tennis club",Wangaratta (RC),Hume Region
Special Olympics Inner East Region,PO Box 181,Surrey Hills,3127,VIC,"Athletics Club,Basketball Club,Disability,Tennis club,Tenpin Bowling",Whitehorse (C); Boroondara (C),Eastern Metropolitan Region
Special Olympics Bendigo Region,PO Box 201,Huntly,3551,VIC,"Athletics Club,Basketball Club,Disability,Tenpin Bowling",Greater Bendigo (C),Loddon-Mallee Region
South Bendigo Athletic Club,183 Forest Street,Bendigo,3539,VIC,"Athletics Club,Disability,Sports Club/Association",Greater Bendigo,Loddon-Mallee
Special Olympics Westernport Region,3/74 Thames Promenade,Chelsea,3196,VIC,"Athletics Club,Disability,Tennis club,Tenpin Bowling","Kingston , Bayside",Southern Metro
Athletics Chilwell,,Newtown,3220,VIC,"Athletics Club,Little Athletics",Greater Geelong (C); Ararat (RC),Barwon South Western Region; Grampians Region
Croydon Athletics Club,Norton Road,Croydon,3136,VIC,"Athletics Club,Little Athletics",Maroondah (C),Eastern Metropolitan Region
Geelong Guild Athletic Club,,,,,"Athletics Club,Little Athletics,Sports Club/Association",,
Woady Yaloak Athletics Club,Haddon Recreation Reserve,Haddon,3352,Victoria,"Athletics Club,Little Athletics,Sports Club/Association",Moyne (S); Ararat (RC); Golden Plains (S),Grampians Region; Barwon South Western Region
Gunn Runners,Gunn Island Hotel,Middle Park,3206,VIC,"Athletics Club,Recreation Group",Port Phillip,Southern Metro
Ballarat YCW Harriers Athletic Club,,Ballarat,3350,VIC,"Athletics Club,Sports Club/Association",,
Bendigo University Athletic Club,,,VIC,3550,"Athletics Club,Sports Club/Association",,
Geelong Cross Country Club,"Belmont Park Pavilion, Moorabool Street",Geelong,3220,VIC,"Athletics Club,Sports Club/Association",,
Meadowglen International Athletics Stadium,146 - 156 McDonalds Road,Epping,3076,VIC,"Athletics Club,Sports Club/Association",Whittlesea (C),North and West Metropolitan Region
Oakleigh Athletic Club,,Oakleigh,3166,Vic,"Athletics Club,Sports Club/Association",,
Preston Athletic Club,Edwards Park Lake,Reservoir,3073,VIC,"Athletics Club,Sports Club/Association",,
Richmond Harriers,Citizens Park,Richmond,3121,VIC,"Athletics Club,Sports Club/Association",,
Ringwood Athletic Club Inc,PO Box 616,Healthmont,3135,VIC,"Athletics Club,Sports Club/Association",,
Ruyton Athletic Club,,,,,"Athletics Club,Sports Club/Association",,
Sandringham Athletic Club,Glamis Ave,Hampton,3188,VIC,"Athletics Club,Sports Club/Association",,
South West Athletics,Brauerander Reserve Facility,Warrnambool,,Victoria,"Athletics Club,Sports Club/Association",Warrnambool (C),Barwon South Western Region
St Stephens Harriers Athletic Club Inc,1/ 363 Stephensons Road,Mount Waverley,3149,VIC,"Athletics Club,Sports Club/Association",Monash,Eastern Metro
Stawell Athletic Club,6 Main Street,Stawell,3380,VIC,"Athletics Club,Sports Club/Association",Northern Grampians,Grampians
Traralgon Harriers Athletics Club,Traralgon West Sports Complex,Traralgon,3844,VIC,"Athletics Club,Sports Club/Association",La Trobe,Gippsland
Victorian Cross Country League,64 St Vincent St,Albert Park,3206,VIC,"Athletics Club,Sports Club/Association",,
Victorian Milers Club,,,,,"Athletics Club,Sports Club/Association",,
Victorian Race Walking Club,,,,,"Athletics Club,Sports Club/Association",,
Victorian Road Runners,PO Box48,Burwood,3125,Victoria,"Athletics Club,Sports Club/Association",Whitehorse (C); Monash (C); Boroondara (C),Eastern Metropolitan Region
Wangaratta Harriers Athletics Club Inc.,C/- 10  Alma Avenue,Wangaratta,3677,VIC,"Athletics Club,Sports Club/Association",,
Wendouree Athletic Club,,Ballarat North,,Victoria,"Athletics Club,Sports Club/Association",Ballarat (C),Grampians Region
Western Athletics,,Werribee,,Victoria,"Athletics Club,Sports Club/Association",Wyndham (C); Melton (S); Brimbank (C),North and West Metropolitan Region
Williamstown Athletics Club,Williamstown Athletics Centre,Newport,,Victoria,"Athletics Club,Sports Club/Association",Maribyrnong (C); Hobsons Bay (C),North and West Metropolitan Region
Wodonga Athletic Club,Wodonga Athletics Complex,Wodonga,,Victoria,"Athletics Club,Sports Club/Association",Wodonga (RC); Wodonga (RC); Wodonga (RC),Hume Region; Hume Region; Hume Region
Altona Little Athletics Centre,Sugar Gum Drive,Altona,3018,VIC,Little Athletics,Hobsons Bay (C),North and West Metropolitan Region
Ararat Little Athletics Centre,,Ararat,3377,VIC,Little Athletics,Ararat (RC),Grampians Region
Bacchus Marsh Little Athletics Centre,Masons Lane,Bacchus Marsh,3340,VIC,Little Athletics,Wyndham (C); Moorabool (S); Melton (S),Grampians Region
Ballarat Little Athletics Centre,Llanberris Reserve,Ballarat,3350,VIC,Little Athletics,Ballarat (C),Grampians Region
Bayswater Bullets Little Athletics Club,Knox Park Sporting Complex,Knoxfield,3180,VIC,Little Athletics,Knox (C),Eastern Metropolitan Region
Benalla Little Athletics Centre,Churchill Memorial Reserve,Benalla,3671,VIC,Little Athletics,Mansfield (S); Benalla (RC),Hume Region
Brimbank Little Athletics Centre,Sassella Park,Deer Park,3023,VIC,Little Athletics,Brimbank (C),North and West Metropolitan Region
Casey Little Athletics Centre,Edwin Flack Reserve,Berwick,3806,VIC,Little Athletics,Casey (C),Southern Metropolitan Region
Coburg Little Athletics,Harold Stevens Athletics Track,Coburg,3058,VIC,Little Athletics,Moreland (C),North and West Metropolitan Region
Collingwood Little Athletics Club,George Knott Athletic Field,Clifton Hill,3068,VIC,Little Athletics,Yarra (C),North and West Metropolitan Region
Dandenong Little Athletics Centre,Robert Booth Reserve,Dandenong,3175,VIC,Little Athletics,Greater Dandenong (C),Southern Metropolitan Region
Diamond Valley Little Athletics,Willinda Park Athletics Track,Greensborough,3088,VIC,Little Athletics,Nillumbik (S); Banyule (C),North and West Metropolitan Region
Essendon Little Athletics Centre,Moonee Valley Athletics Track,Moonee Ponds,3039,VIC,Little Athletics,Moonee Valley (C),North and West Metropolitan Region
Fawkner Little Athletics,Charles Mutton Reserve,Fawkner,3060,VIC,Little Athletics,Moreland (C),North and West Metropolitan Region
Frankston Little Athletics Centre,Ballam Park Athletics Track,Frankston,3199,VIC,Little Athletics,Frankston (C),Southern Metropolitan Region
Gisborne Little Athletics,Dixon Reserve,Gisborne,3437,VIC,Little Athletics,"Macedon Ranges , Melton",Loddon-Mallee
Horsham Little Athletics Centre,Dudley Cornell Park,Horsham,3402,VIC,Little Athletics,Horsham (RC),Grampians Region
Hume Little Athletics,Laura Douglas Reserve,Upfield,3047,VIC,Little Athletics,,
Keilor Little Athletics Club,Keilor Park Athletics Track,Keilor Park,3038,VIC,Little Athletics,Moonee Valley; Brimbank,North and West Metropolitan Region
Kew Little Athletics Club,Stradbroke Park,Kew,3101,VIC,Little Athletics,Boroondara (C),Eastern Metropolitan Region
Kilmore & District Little Athletics,Clancy Reserve,Kilmore,3764,VIC,Little Athletics,Mitchell (S),Hume Region
Knox Little Athletics Centre,Knox Park Sporting Complex,Knoxfield,3152,VIC,Little Athletics,Knox (C),Eastern Metropolitan Region
Kyabram Little Athletics Centre,Kyabram Secondary College Oval,Kyabram,3620,VIC,Little Athletics,Greater Shepparton (C); Campaspe (S),Loddon-Mallee Region; Hume Region
Kyneton & District Little Athletics Centre,Kyneton Showgrounds,Kyneton,3444,VIC,Little Athletics,Macedon Ranges (S),Loddon-Mallee Region
Lancefield/Romsey Little Athletics Centre,Romsey Primary School,Romsey,3434,VIC,Little Athletics,Macedon Ranges (S),Loddon-Mallee Region
Leongatha Little Athletics Centre,Leongatha Velodrome,Leongatha,3953,VIC,Little Athletics,South Gippsland (S),Gippsland Region
Lilydale & Yarra Ranges Little Athletics Centre,Morrison Reserve,Mount Evelyn,3796,VIC,Little Athletics,Yarra Ranges (S),Eastern Metropolitan Region
Little Athletics Centre,PO Box 986,Sale,3850,VIC,Little Athletics,Wellington,Gippsland
Mansfield Little Athletics Centre,Mansfield Recreation Reserve,Mansfield,3722,VIC,Little Athletics,Yarra Ranges (S); Mansfield (S),Hume Region
Maryborough Little Athletics,Jack Pascoe Reserve,Maryborough,3465,VIC,Little Athletics,Central Goldfields (S),Loddon-Mallee Region
Melton South Little Athletics Centre,Melton South Recreation Reserve,Melton South,3338,VIC,Little Athletics,Melton (S),North and West Metropolitan Region
Mentone Little Athletics,Dolamore Reserve,Mentone,3193,VIC,Little Athletics,Kingston (C); Bayside (C),Southern Metropolitan Region
Mildura & Districts Little Athletics Centre,Old Aerodrome Sporting Complex,Mildura,3500,VIC,Little Athletics,Mildura (RC),Loddon-Mallee Region
Moe Little Athletics,Joe Carmody Athletics Centre,Newborough,3825,VIC,Little Athletics,"La Trobe , Baw Baw",Gippsland
Moorabbin Little Athletics Centre,GR Bricker Reserve,Moorabbin,3189,VIC,Little Athletics,Kingston (C),Southern Metropolitan Region
Mornington Little Athletics Centre,Mace Oval,Mount Martha,3934,VIC,Little Athletics,Mornington Peninsula (S),Southern Metropolitan Region
Nathalia Little Athletics Centre,Nathalia Recreation Reserve,Nathalia,3638,VIC,Little Athletics,Moira (S),Hume Region
Northern Stars Little Athletics Club,"Meadowglen International Athletics Stadium,",Epping,3076,VIC,Little Athletics,Whittlesea (C),North and West Metropolitan Region
Nunawading Little Athletics Centre,Bill Sewart Athletic Track,Burwood East,3151,VIC,Little Athletics,Whitehorse (C),Eastern Metropolitan Region
Oakleigh Little Athletics Centre,Davies Reserve,Oakleigh South,3167,,Little Athletics,Kingston (C); Glen Eira (C),Southern Metropolitan Region; Eastern Metropolitan Region
Orbost Little Athletics Centre,Orbost Secondary College Oval,Orbost,3888,VIC,Little Athletics,East Gippsland (S),Gippsland Region
Pakenham Little Athletics Centre,Toomuc Reserve,Pakenham,3810,VIC,Little Athletics,Cardinia (S),Southern Metropolitan Region
Preston/Reservoir Little Athletics,Edwardes Park Lake,Reservoir,3073,VIC,Little Athletics,Darebin (C),North and West Metropolitan Region
Ringwood Little Athletics Centre,Proclamation Park,Ringwood,3134,VIC,Little Athletics,Manningham (C); Maroondah (C),Eastern Metropolitan Region
Rochester Little Athletics Centre,Rochester Recreation Reserve Windridge Oval,Rochester,3561,VIC,Little Athletics,Campaspe (S),Loddon-Mallee Region
Sandringham Little Athletics Centre,Glamis Avenue,Hampton,3188,VIC,Little Athletics,Bayside (C),Southern Metropolitan Region
Seaford Little Athletics Centre,Riviera Park,Seaford,3198,VIC,Little Athletics,Frankston (C),Southern Metropolitan Region
Seymour Little Athletics Centre,Chittick Park,Seymour,3660,VIC,Little Athletics,Murrindindi (S); Mitchell (S),Hume Region
Shepparton Little Athletics Centre,McEwen Reserve,Shepparton,3630,VIC,Little Athletics,Greater Shepparton (C); ,Hume Region
Sherbrooke Little Athletics Centre,Kings Park,Upper Ferntree Gully,3156,VIC,Little Athletics,Yarra Ranges (S); Knox (C),Eastern Metropolitan Region
Springvale Little Athletics Centre,Ross Reserve Memorial Drive,Noble Park,3174,VIC,Little Athletics,Greater Dandenong,Southern Metro
St Arnaud Little Athletics Centre,Lord Nelson Park,St Arnaud,3478,VIC,Little Athletics,Northern Grampians (S),Grampians Region
Sunbury Little Athletics Centre Inc.,Eric Boardman Memorial Reserve,Sunbury,3429,VIC,Little Athletics,Melton (S); Hume (C),North and West Metropolitan Region
Swan Hill Little Athletics Centre,Ken Harrison Sporting Complex,Swan Hill,3585,VIC,Little Athletics,Swan Hill (RC),Loddon-Mallee Region
Traralgon Little Athletics Centre,Harold Preston Park,Traralgon,3844,VIC,Little Athletics,Latrobe (C),Gippsland Region
Wangaratta Little Athletics Centre,Appin Park,Wangaratta,3676,VIC,Little Athletics,Wangaratta (RC),Hume Region
Warragul Little Athletics Centre,Geoff Watt Track,Warragul,3820,VIC,Little Athletics,Baw Baw (S),Gippsland Region
Warrnambool Little Athletics Centre,Lake Pertobe Centre,Warrnambool,3280,VIC,Little Athletics,Warrnambool (C),Barwon South Western Region
Waverley Little Athletics,Central Reserve,Glen Waverley,3150,VIC,Little Athletics,Monash (C),Eastern Metropolitan Region
Werribee Little Athletics Club,VU & Wyndham Sporting Complex,Hoppers Crossing,3030,VIC,Little Athletics,Wyndham (C),North and West Metropolitan Region
Westernport Little Athletics,Westernport Secondary College,Hastings,3915,VIC,Little Athletics,Mornington Peninsula (S),Southern Metropolitan Region
Whittlesea City Little Athletics Centre,Meadowglen Athletics Stadium,Epping,3074,VIC,Little Athletics,Whittlesea (C),North and West Metropolitan Region
Williamstown Little Athletics Centre,Newport Park,Newport,3016,VIC,Little Athletics,Maribyrnong (C); Hobsons Bay (C),North and West Metropolitan Region
Wonthaggi Little Athletics,Bilson Street Primary School,Wonthaggi,3995,VIC,Little Athletics,Bass Coast (S),Gippsland Region
Woodend Little Athletics Centre,Oval Next to Buffalo Sports Stadium,Woodend,3442,VIC,Little Athletics,Macedon Ranges (S),Loddon-Mallee Region
