Racecourse Location/Name,Address,Town,Phone,Postcode,Type
Alexandra ,Vickery Street,Alexandra,(+61 3) 5773 4304,3714,Thoroughbred
Ararat ,Western Highway,Ararat,(+61 3) 5358 5288,,Thoroughbred
Avoca ,Pyrenees Highway,Avoca,(+61 3) 5465 3231,3467,Thoroughbred
Bairnsdale ,124 Forge Creek Road,Bairnsdale,(+61 3) 5152 4057,3875,Thoroughbred
Ballarat ,240 Kennedys Road,Miners Rest,(+61 3) 5334 6273,3352,Thoroughbred
Balnarring ,Coolart Road,Bittern,(+61 3) 5986 3755,,Thoroughbred
Benalla ,Cnr Midland Highway & Racecourse Road,Benalla,(+61 3) 5762 2543,3672,Thoroughbred
Bendigo ,Heinz Street,"White Hills, Bendigo",(+61 3) 5448 4209,3550,Thoroughbred
Buchan ,RMB 4320 Canni Creek Road,Buchan,(+61 3) 5153 2671,3885,Thoroughbred
Camperdown ,Lismore Road,Camperdown,,,Thoroughbred
Casterton ,Racecourse Road,Casterton,(+61 3)  5581 1149,3311,Thoroughbred
Colac ,Lavers Hill Road,Colac,(+61 3)  5232 1866,3250,Thoroughbred
Coleraine ,Glenelg Racing Club,Coleraine,,3300,Thoroughbred
Cranbourne ,Grant Street,Cranbourne,(+61 3) 5996 1300,,Thoroughbred
Dederang ,Kiewa Valley Highway,Dederang,(+61 3) 5754 5221,,Thoroughbred
Donald,Racecourse Road,Donald,,,Thoroughbred
Drouin ,Matthew Bennet Park,Drouin,,,Thoroughbred
Dunkeld ,Cemetary Lane,Dunkeld,,,Thoroughbred
Echuca,Scott Road ,Echuca,(+61 3) 5482 2487,3564,Thoroughbred
Edenhope ,Apsley Road,Edenhope,(+61 3) 5585 1508,,Thoroughbred
Geelong ,Breakwater Road,Breakwater,(+61 3) 5229 4414,,Thoroughbred
Great Western,Moyston Road,Great Western,,,Thoroughbred
Gunbower ,,Gunbower,,3566,Thoroughbred
Hamilton ,Henty Highway,Hamilton,(+61 3) 5572 1268,3300,Thoroughbred
Hanging Rock ,"Recreation Reserve, South Rock Road",Woodend,(+61 3) 5422 1866,3442,Thoroughbred
Healesville ,Yarra Glen-Healesville Road,Healesville,,3777,Thoroughbred
Horsham ,Bennet Road,Horsham,,,Thoroughbred
Kerang ,Park Road,Kerang,(+61 3) 5032 2110,,Thoroughbred
Kilmore ,East Street,Kilmore,(+61 3) 5783 0700,3764,Thoroughbred
Kyneton ,Campaspe Place,Kyneton,(+61 3) 5422 1866,3444,Thoroughbred
Latrobe Valley  - Traralgon,McNairn Road,Traralgon,,3844,Thoroughbred
Manangatang ,Sports Road,Manangatang,,,Thoroughbred
Mansfield ,6165 Midland Highway,Mansfield,,3722,Thoroughbred
Merton ,Euroa Road,Merton,(+61 3) 5778 9524,,Thoroughbred
Mildura ,Racecourse Road,Mildura,,3500,Thoroughbred
Moe ,Waterloo Road,Moe,,,Thoroughbred
Mornington,Racecourse Road,Mornington,(+61 3) 5975 3310,,Thoroughbred
Mortlake ,Connewarren Lane,Mortlake,(+61 3) 5599 2161,,Thoroughbred
Wycheproof ,Cnr Broadway & Charles Street,Wycheproof,(+61 3) 5032 2110,,Thoroughbred
Murtoa ,Racecourse Road,Murtoa,,,Thoroughbred
Nhill,Western Highway,Nhill,,,Thoroughbred
Omeo ,Hinnomunjie (off Benambra Road),Omeo,,,Thoroughbred
Pakenham ,61 Racecourse Road,Pakenham,(+61 3) 5941 1207,3810,Thoroughbred
Penhurst ,Racecourse Road,Penhurst,(+61 3) 5572 1268,,Thoroughbred
Sale ,1227 Sale-Maffra Road,Sale,(+61 3) 5144 2962,,Thoroughbred
Seymour ,55 Kobyboyn Road,Seymour,(+61 3) 5799 1681,3660,Thoroughbred
St Arnaud,Wimmera Highway,St Arnaud,,,Thoroughbred
Stawell ,Pomonal Road,Stawell,(+61 3) 5358 5288,3380,Thoroughbred
Stony Creek,South Gippsland Highway,Stony Creek,(+61 3) 5664 0099,,Thoroughbred
Swan Hill,Cnr Splatt and Gray Street,Swan Hill,(+61 3) 5032 2110,3585,Thoroughbred
Tambo Valley ,,Swifts Creek,,3896,Thoroughbred
Tatura ,Ross Street,Tatura,(+61 3) 5824 1947,,Thoroughbred
Terang ,Keilambete Road,Terang,(+61 3) 5592 1828,3264,Thoroughbred
Towong ,Towong Road,Towong,,,Thoroughbred
Wangaratta,Osboldstone Road,Wangaratta,,,Thoroughbred
Warracknabeal ,Henty Highway,Warracknabeal,,,Thoroughbred
Warrnambool ,Grafton Road,Warrnambool,(+61 3) 5562 2211,3280,Thoroughbred
Werribee ,Buldan Road,Werribee,,,Thoroughbred
Wodonga ,Hamilton Smith Drive,Wodonga,(+61 2) 6056 1214,3689,Thoroughbred
Woolamai ,Trew Road,Woolamai,(+61 3) 5678 7585,,Thoroughbred
Yarra Glen,Armstrong Grove,Yarra Glen,(+61 3) 9730 1332,3775,Thoroughbred
Yea ,Racecourse Road,Yea,,3717,Thoroughbred
Ballarat,Cnr Rubicon & Sutton Streets,Ballarat,(+61 3) 5335 7201,3350,Greyhound
Bendigo - Lords Raceway,McIvor Highway,Junortoun,(+61 3) 5449 3322,3351,Greyhound
Cranbourne,Grant Street,Cranbourne,(+61 3) 5996 2393,3977,Greyhound
Geelong - Beckley Park,Broderick Road,Corio,(+61 3) 5275 2298,3214,Greyhound
Healesville Sports Complex,Cnr Don & Donald roads,Healesville,(+61 3) 5962 2420,3777,Greyhound
Horsham Showgrounds,Horsham Showgrounds,Horsham,(+61 3) 5382 4329,3400,Greyhound
Meadows,80 Northcorp Bvd,Broadmeadows,(+61 3) 9355 5222,3047,Greyhound
Sale Showgrounds,Sale Maffra Road,Sale,(+61 3) 5144 2148,3850,Greyhound
Sandown,Lightwood Road,Springvale,(+61 3) 9546 9511,3171,Greyhound
Shepparton,7580 Goulburn Valley Highway,Kialla,(+61 3) 5823 5577,3631,Greyhound
Traralgon - Glenview Park,McNairn Road,Traralgon,(+61 3) 5174 2135,3844,Greyhound
Warragul - Logan Park,Logan Park,Warragul,(+61 3) 5623 1867,3820,Greyhound
Warrnambool Showgrounds,Koroit Street,Warrnambool,(+61 3) 5561 2766,3280,Greyhound
Ararat - Russell T White Raceway,Blake Street,Ararat,(+61 3) 5352 2634,3377,Harness
Bacchus Marsh,Racecourse Road,Bacchus Marsh,(+61 3) 5367 2819,3340,Harness
Ballarat - Bray Raceway,Cnr Bell & Sutton Streets,Ballarat,(+61 3) 5335 9041,3353,Harness
Benalla Racing Club,Midland Highway,Benalla,(+61 3) 5763 3204,3672,Harness
Bendigo - Lords Raceway,McIvor Highway,Bendigo,(+61 3) 5449 3205,3550,Harness
Birchip,Berriwillock Road,Birchip,(+61 3) 5492 2616,3483,Harness
Boort Park,Malone Street,Boort,(+61 3) 5455 2138,3537,Harness
Charlton Park,Calder Highway,Charlton,(+61 3) 5491 1320,3525,Harness
Cobram Recreation Reserve,Racecourse Road,Cobram,(+61 3) 5872 1297,3644,Harness
Cranbourne Racing Complex,Grant Street,Cranbourne,(+61 3) 5996 8677,3977,Harness
Donald ,Racecourse Road,Donald,(+61 3) 5497 1714,3480,Harness
Echuca - Frank Ryan Raceway,Simmie Street,Echuca,(+61 3) 5482 2036,3564,Harness
Elmore,1 Simmie Street,Elmore,(+61 3) 5432 6347,3558,Harness
Geelong - Beckley Park,Melbourne/Geelong Road,Corio,(+61 3) 5275 4880,3212,Harness
Gunbower Racecourse Reserve,Dormoyle Road,Gunbower,(+61 3) 5487 1374,3562,Harness
Hamilton Racing Club,Ballarat Road,Hamilton,(+61 3) 5572 1892,3300,Harness
Horsham Racing Centre,Bennett Road,Horsham,(+61 3) 5381 0106,3400,Harness
Kilmore Racing Centre,East Street,Kilmore,(+61 3) 5783 0700,3764,Harness
Kyabram Racecourse Recreation Reserve,1 Racecourse Road,Kyabram,(+61 3) 5852 2824,3619,Harness
Kyneton,Campaspe Place,Kyneton,,3444,Harness
Maryborough - Carisbrook Raceway,Chaplins Road,Maryborough,(+61 3) 5464 2451,3465,Harness
Mildura Showgrounds,Eleventh Street,Mildura,,3502,Harness
Moonee Valley Racecourse,McPherson Street,Moonee Ponds,(+61 3) 8378 0200,3039,Harness
Mooroopna,Cnr Elsie Jones Drive & McLennan Street,Mooroopna,(+61 3) 5825 2228,3631,Harness
Nyah Sporting Complex,River Road,Nyah,(+61 3) 5030 2411,3594,Harness
Ouyen - Blackburn Park,Hughes Street,Ouyen,(+61 3) 5092 1446,3490,Harness
Robinvale,,Robinvale,(+61 3) 5026 4322,3549,Harness
Sebastian,,Eaglehawk,(+61 3) 5436 1265,3556,Harness
Shepparton - Quest Racing Complex,Goulburn Valley Highway,Kialla,(+61 3) 5823 1403,3630,Harness
St Arnaud - Lord Nelson Park,Charlron Road,St Arnaud,(+61 3) 5495 1402,3478,Harness
Stawell - Laidlaw Park,Patrick Park,Stawell,(+61 3) 5358 1237,3380,Harness
Tabcorp Park - Melton,2 Ferris Road,Melton South,(+61 3) 8746 0600,3338,Harness
Terang - Dalvui Raceway,Princes Highway,Terang,(+61 3) 5592 1785,3264,Harness
Wangaratta - Avian Park Raceway,Newnam Street,Wangaratta,(+61 3) 5722 4003,3677,Harness
Warragul - Logan Park,South Road,Warragul,(+61 3) 5623 2315,3820,Harness
Warrnambool ,,Warrnambool,(+61 3) 5569 2381,3280,Harness
Wedderburn - Donaldson Park,Cnr Chapel & Hospital Streets,Wedderburn ,(+61 3) 5494 3121,3518,Harness
Yarra Valley,Armstrong Grove,Yarra Glen,(+61 3) 97301332,3775,Harness
Yarrambat Park,Yan Yean Road,Yarrambat,(+61 3) 9436 5947,3091,Harness
